date,order_id,product,sku,quantity,unit_price,discount_amount,revenue
2019-01-05,750-67-8428,Health and beauty,SKU-750-67-8,7,74.69,0.0,522.83
2019-03-08,226-31-3081,Electronic accessories,SKU-226-31-3,5,15.28,0.0,76.4
2019-03-03,631-41-3108,Home and lifestyle,SKU-631-41-3,7,46.33,0.0,324.31
2019-01-27,123-19-1176,Health and beauty,SKU-123-19-1,8,58.22,0.0,465.76
2019-02-08,373-73-7910,Sports and travel,SKU-373-73-7,7,86.31,0.0,604.1700000000001
2019-03-25,699-14-3026,Electronic accessories,SKU-699-14-3,7,85.39,0.0,597.73
2019-02-25,355-53-5943,Electronic accessories,SKU-355-53-5,6,68.84,0.0,413.04
2019-02-24,315-22-5665,Home and lifestyle,SKU-315-22-5,10,73.56,0.0,735.6
2019-01-10,665-32-9167,Health and beauty,SKU-665-32-9,2,36.26,0.0,72.52
2019-02-20,692-92-5582,Food and beverages,SKU-692-92-5,3,54.84,0.0,164.52
2019-02-06,351-62-0822,Fashion accessories,SKU-351-62-0,4,14.48,0.0,57.92
2019-03-09,529-56-3974,Electronic accessories,SKU-529-56-3,4,25.51,0.0,102.03999999999999
2019-02-12,365-64-0515,Electronic accessories,SKU-365-64-0,5,46.95,0.0,234.75
2019-02-07,252-56-2699,Food and beverages,SKU-252-56-2,10,43.19,0.0,431.9
2019-03-29,829-34-3910,Health and beauty,SKU-829-34-3,10,71.38,0.0,713.8
2019-01-15,299-46-1805,Sports and travel,SKU-299-46-1,6,93.72,0.0,562.32
2019-03-11,656-95-9349,Health and beauty,SKU-656-95-9,7,68.93,0.0,482.51
2019-01-01,765-26-6951,Sports and travel,SKU-765-26-6,6,72.61,0.0,435.65999999999997
2019-01-21,329-62-1586,Food and beverages,SKU-329-62-1,3,54.67,0.0,164.01
2019-03-11,319-50-3348,Home and lifestyle,SKU-319-50-3,2,40.3,0.0,80.6
2019-02-25,300-71-4605,Electronic accessories,SKU-300-71-4,5,86.04,0.0,430.2
2019-03-05,371-85-5789,Health and beauty,SKU-371-85-5,3,87.98,0.0,263.94
2019-03-15,273-16-6619,Home and lifestyle,SKU-273-16-6,2,33.2,0.0,66.4
2019-02-17,636-48-8204,Electronic accessories,SKU-636-48-8,5,34.56,0.0,172.8
2019-03-02,549-59-1358,Sports and travel,SKU-549-59-1,3,88.63,53.178,212.712
2019-03-22,227-03-5010,Home and lifestyle,SKU-227-03-5,8,52.59,0.0,420.71999999999997
2019-02-08,649-29-6775,Fashion accessories,SKU-649-29-6,1,33.52,0.0,33.519999999999996
2019-03-10,189-17-4241,Fashion accessories,SKU-189-17-4,2,87.67,0.0,175.34
2019-01-25,145-94-9061,Food and beverages,SKU-145-94-9,5,88.36,0.0,441.8
2019-03-15,848-62-7243,Health and beauty,SKU-848-62-7,9,24.89,0.0,224.01
2019-02-25,871-79-8483,Fashion accessories,SKU-871-79-8,5,94.13,0.0,470.65
2019-01-28,149-71-6266,Sports and travel,SKU-149-71-6,9,78.07,0.0,702.63
2019-01-10,640-49-2076,Sports and travel,SKU-640-49-2,8,83.78,0.0,670.24
2019-03-15,595-11-5460,Health and beauty,SKU-595-11-5,2,96.58,0.0,193.16000000000003
2019-02-06,183-56-6882,Food and beverages,SKU-183-56-6,4,99.42,0.0,397.68
2019-01-07,232-16-2483,Sports and travel,SKU-232-16-2,1,68.12,0.0,68.11999999999999
2019-03-10,129-29-8530,Sports and travel,SKU-129-29-8,5,62.62,62.62,250.48000000000002
2019-01-15,272-65-1806,Electronic accessories,SKU-272-65-1,9,60.88,0.0,547.9200000000001
2019-03-23,333-73-7901,Health and beauty,SKU-333-73-7,8,54.92,0.0,439.35999999999996
2019-03-03,777-82-7220,Home and lifestyle,SKU-777-82-7,8,30.12,0.0,240.96
2019-01-17,280-35-5823,Home and lifestyle,SKU-280-35-5,1,86.72,0.0,86.72
2019-02-02,554-53-8700,Home and lifestyle,SKU-554-53-8,2,56.11,0.0,112.22
2019-02-08,354-25-5821,Sports and travel,SKU-354-25-5,6,69.12,0.0,414.72
2019-03-04,228-96-1411,Food and beverages,SKU-228-96-1,8,98.7,0.0,789.6
2019-03-16,617-15-4209,Health and beauty,SKU-617-15-4,2,15.37,0.0,30.740000000000002
2019-03-09,132-32-9879,Electronic accessories,SKU-132-32-9,4,93.96,0.0,375.84000000000003
2019-02-27,370-41-7321,Health and beauty,SKU-370-41-7,9,56.69,0.0,510.21000000000004
2019-02-06,727-46-3608,Food and beverages,SKU-727-46-3,9,20.01,0.0,180.09
2019-02-10,669-54-1719,Electronic accessories,SKU-669-54-1,6,18.93,0.0,113.58
2019-03-19,574-22-5561,Fashion accessories,SKU-574-22-5,10,82.63,0.0,826.3
2019-02-03,326-78-5178,Food and beverages,SKU-326-78-5,7,91.4,0.0,639.8
2019-02-10,162-48-8011,Food and beverages,SKU-162-48-8,5,44.59,0.0,222.95
2019-03-22,616-24-2851,Fashion accessories,SKU-616-24-2,4,17.87,0.0,71.48
2019-01-25,778-71-5554,Fashion accessories,SKU-778-71-5,1,15.43,0.0,15.43
2019-03-07,242-55-6721,Home and lifestyle,SKU-242-55-6,2,16.16,0.0,32.32
2019-02-28,399-46-5918,Electronic accessories,SKU-399-46-5,8,85.98,0.0,687.8399999999999
2019-03-27,106-35-6779,Home and lifestyle,SKU-106-35-6,2,44.34,0.0,88.68
2019-02-07,635-40-6220,Health and beauty,SKU-635-40-6,8,89.6,0.0,716.8
2019-01-20,817-48-8732,Home and lifestyle,SKU-817-48-8,10,72.35,0.0,723.5
2019-03-12,120-06-4233,Electronic accessories,SKU-120-06-4,6,30.61,0.0,183.66
2019-02-15,285-68-5083,Sports and travel,SKU-285-68-5,3,24.74,0.0,74.22
2019-02-24,803-83-5989,Home and lifestyle,SKU-803-83-5,6,55.73,0.0,334.38
2019-02-03,347-34-2234,Sports and travel,SKU-347-34-2,9,55.07,0.0,495.63000000000005
2019-03-06,199-75-8169,Sports and travel,SKU-199-75-8,10,15.81,31.62,126.48
2019-02-14,853-23-2453,Health and beauty,SKU-853-23-2,4,75.74,0.0,302.96
2019-03-13,877-22-3308,Health and beauty,SKU-877-22-3,10,15.87,0.0,158.7
2019-02-10,838-78-4295,Health and beauty,SKU-838-78-4,2,33.47,0.0,66.94000000000001
2019-01-07,109-28-2512,Fashion accessories,SKU-109-28-2,6,97.61,0.0,585.66
2019-01-24,232-11-3025,Sports and travel,SKU-232-11-3,10,78.77,0.0,787.7
2019-02-02,382-03-4532,Health and beauty,SKU-382-03-4,1,18.33,0.0,18.330000000000002
2019-01-06,393-65-2792,Food and beverages,SKU-393-65-2,10,89.48,0.0,894.8
2019-02-11,796-12-2025,Fashion accessories,SKU-796-12-2,10,62.12,0.0,621.2
2019-03-05,510-95-6347,Food and beverages,SKU-510-95-6,3,48.52,0.0,145.56
2019-03-09,841-35-6630,Electronic accessories,SKU-841-35-6,6,75.91,0.0,455.46
2019-01-22,287-21-9091,Home and lifestyle,SKU-287-21-9,9,74.67,0.0,672.03
2019-01-13,732-94-0499,Electronic accessories,SKU-732-94-0,10,41.65,0.0,416.5
2019-01-09,263-10-3913,Fashion accessories,SKU-263-10-3,9,49.04,0.0,441.36
2019-01-12,381-20-0914,Fashion accessories,SKU-381-20-0,9,20.01,0.0,180.09
2019-03-05,829-49-1914,Food and beverages,SKU-829-49-1,10,78.31,0.0,783.1
2019-01-22,756-01-7507,Health and beauty,SKU-756-01-7,5,20.38,0.0,101.9
2019-01-21,870-72-4431,Health and beauty,SKU-870-72-4,6,99.19,0.0,595.1400000000001
2019-01-26,847-38-7188,Food and beverages,SKU-847-38-7,3,96.68,0.0,290.03999999999996
2019-01-23,480-63-2856,Food and beverages,SKU-480-63-2,8,19.25,0.0,154.0
2019-02-23,787-56-0757,Food and beverages,SKU-787-56-0,4,80.36,0.0,321.44
2019-03-09,360-39-5055,Sports and travel,SKU-360-39-5,5,48.91,48.91,195.64
2019-03-05,730-50-9884,Sports and travel,SKU-730-50-9,7,83.06,116.28400000000002,465.13599999999997
2019-03-25,362-58-8315,Fashion accessories,SKU-362-58-8,5,76.52,0.0,382.6
2019-03-27,633-44-8566,Food and beverages,SKU-633-44-8,7,49.38,0.0,345.65999999999997
2019-01-02,504-35-8843,Sports and travel,SKU-504-35-8,1,42.47,0.0,42.47
2019-02-27,318-68-5053,Health and beauty,SKU-318-68-5,6,76.99,0.0,461.94
2019-01-23,565-80-5980,Home and lifestyle,SKU-565-80-5,4,47.38,0.0,189.52
2019-01-26,225-32-0908,Sports and travel,SKU-225-32-0,10,44.86,0.0,448.59999999999997
2019-01-10,873-51-0671,Sports and travel,SKU-873-51-0,7,21.98,0.0,153.85999999999999
2019-03-12,152-08-9985,Health and beauty,SKU-152-08-9,9,64.36,0.0,579.24
2019-02-06,512-91-0811,Health and beauty,SKU-512-91-0,1,89.75,0.0,89.75
2019-03-08,594-34-4444,Electronic accessories,SKU-594-34-4,1,97.16,0.0,97.16
2019-03-29,766-85-7061,Health and beauty,SKU-766-85-7,10,87.87,0.0,878.7
2019-02-09,871-39-9221,Electronic accessories,SKU-871-39-9,6,12.45,0.0,74.7
2019-03-23,865-92-6136,Food and beverages,SKU-865-92-6,3,52.75,0.0,158.25
2019-03-05,733-01-9107,Home and lifestyle,SKU-733-01-9,6,82.7,0.0,496.2
2019-03-26,163-56-7055,Fashion accessories,SKU-163-56-7,1,48.71,0.0,48.71
2019-03-01,189-98-2939,Fashion accessories,SKU-189-98-2,9,78.55,0.0,706.95
2019-02-01,551-21-3069,Electronic accessories,SKU-551-21-3,9,23.07,0.0,207.63000000000002
2019-03-28,212-62-1842,Food and beverages,SKU-212-62-1,6,58.26,0.0,349.56
2019-03-19,716-39-1409,Health and beauty,SKU-716-39-1,7,30.35,0.0,212.45
2019-01-12,704-48-3927,Electronic accessories,SKU-704-48-3,10,88.67,0.0,886.6999999999999
2019-01-05,628-34-3388,Fashion accessories,SKU-628-34-3,6,27.38,0.0,164.28
2019-03-22,630-74-5166,Sports and travel,SKU-630-74-5,6,62.13,74.55600000000001,298.224
2019-03-24,588-01-7461,Food and beverages,SKU-588-01-7,9,33.98,0.0,305.82
2019-03-03,861-77-0145,Electronic accessories,SKU-861-77-0,10,81.97,0.0,819.6999999999999
2019-02-05,479-26-8945,Sports and travel,SKU-479-26-8,2,16.49,0.0,32.98
2019-02-05,210-67-5886,Health and beauty,SKU-210-67-5,3,98.21,0.0,294.63
2019-02-15,227-78-1148,Fashion accessories,SKU-227-78-1,7,72.84,0.0,509.88
2019-01-19,645-44-1170,Home and lifestyle,SKU-645-44-1,9,58.07,0.0,522.63
2019-02-01,237-01-6122,Home and lifestyle,SKU-237-01-6,9,80.79,0.0,727.11
2019-03-02,225-98-1496,Fashion accessories,SKU-225-98-1,3,27.02,0.0,81.06
2019-03-05,291-32-1427,Fashion accessories,SKU-291-32-1,5,21.94,0.0,109.7
2019-01-16,659-65-8956,Fashion accessories,SKU-659-65-8,1,51.36,0.0,51.36
2019-02-02,642-32-2990,Food and beverages,SKU-642-32-2,10,10.96,0.0,109.6
2019-01-20,378-24-2715,Home and lifestyle,SKU-378-24-2,2,53.44,0.0,106.88000000000001
2019-02-14,638-60-7125,Electronic accessories,SKU-638-60-7,8,99.56,0.0,796.48
2019-01-12,659-36-1684,Sports and travel,SKU-659-36-1,7,57.12,0.0,399.84
2019-03-09,219-22-9386,Sports and travel,SKU-219-22-9,9,99.96,179.928,719.712
2019-03-13,336-78-2147,Home and lifestyle,SKU-336-78-2,8,63.91,0.0,511.28000000000003
2019-03-09,268-27-6179,Fashion accessories,SKU-268-27-6,8,56.47,0.0,451.76
2019-03-10,668-90-8900,Home and lifestyle,SKU-668-90-8,7,93.69,0.0,655.8299999999999
2019-01-27,870-54-3162,Sports and travel,SKU-870-54-3,5,32.25,0.0,161.25
2019-01-08,189-08-9157,Fashion accessories,SKU-189-08-9,9,31.73,0.0,285.57
2019-01-08,663-86-9076,Food and beverages,SKU-663-86-9,8,68.54,0.0,548.3199999999999
2019-02-08,549-84-7482,Sports and travel,SKU-549-84-7,9,90.28,0.0,812.52
2019-01-25,191-10-6171,Fashion accessories,SKU-191-10-6,7,39.62,0.0,277.34
2019-03-06,802-70-5316,Sports and travel,SKU-802-70-5,6,92.13,110.556,442.224
2019-02-10,695-51-0018,Sports and travel,SKU-695-51-0,4,34.84,0.0,139.36
2019-02-17,590-83-4591,Electronic accessories,SKU-590-83-4,6,87.45,0.0,524.6999999999999
2019-03-08,483-71-1164,Health and beauty,SKU-483-71-1,6,81.3,0.0,487.80000000000007
2019-02-18,597-78-7908,Fashion accessories,SKU-597-78-7,3,90.22,0.0,270.65999999999997
2019-01-18,700-81-1757,Electronic accessories,SKU-700-81-1,5,26.31,0.0,131.55
2019-02-18,354-39-5160,Home and lifestyle,SKU-354-39-5,6,34.42,0.0,206.52
2019-02-16,241-72-9525,Sports and travel,SKU-241-72-9,10,51.91,0.0,519.0999999999999
2019-03-16,575-30-8091,Sports and travel,SKU-575-30-8,8,72.5,116.0,464.0
2019-01-23,731-81-9469,Sports and travel,SKU-731-81-9,10,89.8,0.0,898.0
2019-01-25,280-17-4359,Health and beauty,SKU-280-17-4,10,90.5,0.0,905.0
2019-02-05,338-65-2210,Health and beauty,SKU-338-65-2,10,68.6,0.0,686.0
2019-02-22,488-25-4221,Food and beverages,SKU-488-25-4,1,30.41,0.0,30.41
2019-01-21,239-10-7476,Home and lifestyle,SKU-239-10-7,6,77.95,0.0,467.7
2019-03-08,458-41-1477,Health and beauty,SKU-458-41-1,6,46.26,0.0,277.56
2019-02-10,685-64-1609,Fashion accessories,SKU-685-64-1,10,30.14,0.0,301.40000000000003
2019-03-19,568-90-5112,Health and beauty,SKU-568-90-5,4,66.14,0.0,264.56
2019-03-06,262-47-2794,Home and lifestyle,SKU-262-47-2,8,71.86,0.0,574.88
2019-03-27,238-49-0436,Health and beauty,SKU-238-49-0,8,32.46,0.0,259.68
2019-03-23,608-96-3517,Fashion accessories,SKU-608-96-3,4,91.54,0.0,366.16
2019-03-11,584-86-7256,Sports and travel,SKU-584-86-7,7,34.56,48.38400000000001,193.536
2019-01-29,746-94-0204,Fashion accessories,SKU-746-94-0,9,83.24,0.0,749.1600000000001
2019-02-07,214-17-6927,Food and beverages,SKU-214-17-6,6,16.48,0.0,98.88
2019-01-28,400-89-4171,Sports and travel,SKU-400-89-4,8,80.97,0.0,647.76
2019-02-20,782-95-9291,Food and beverages,SKU-782-95-9,5,92.29,0.0,461.45
2019-01-04,279-74-2924,Electronic accessories,SKU-279-74-2,1,72.17,0.0,72.16999999999999
2019-03-07,307-85-2293,Home and lifestyle,SKU-307-85-2,5,50.28,0.0,251.40000000000003
2019-03-30,743-04-1105,Health and beauty,SKU-743-04-1,9,97.22,0.0,874.98
2019-03-27,423-57-2993,Sports and travel,SKU-423-57-2,6,93.39,112.06800000000001,448.27199999999993
2019-01-19,894-41-5205,Food and beverages,SKU-894-41-5,8,43.18,0.0,345.44
2019-02-25,275-28-0149,Sports and travel,SKU-275-28-0,1,63.69,0.0,63.69
2019-03-13,101-17-6199,Food and beverages,SKU-101-17-6,7,45.79,0.0,320.53000000000003
2019-01-30,423-80-0988,Sports and travel,SKU-423-80-0,2,76.4,0.0,152.8
2019-02-20,548-46-9322,Food and beverages,SKU-548-46-9,10,39.9,0.0,399.0
2019-02-25,505-02-0892,Health and beauty,SKU-505-02-0,8,42.57,0.0,340.56
2019-01-16,234-65-2137,Home and lifestyle,SKU-234-65-2,10,95.58,0.0,955.8000000000001
2019-02-08,687-47-8271,Fashion accessories,SKU-687-47-8,10,98.98,0.0,989.8
